0,89
89,1
1,2
2,3
3,4
4,5
5,6
6,7
7,90
90,8
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
72,91
91,73
73,74
74,75
75,76
76,77
77,78
78,79
79,92
92,80
0,93
93,9
9,18
18,27
27,36
36,45
45,54
54,63
63,94
94,72
1,10
10,19
19,28
28,37
37,46
46,55
55,64
64,73
2,11
11,20
20,29
29,38
38,47
47,56
56,65
65,74
3,12
12,21
21,30
30,39
39,48
48,57
57,66
66,75
4,13
13,22
22,31
31,40
40,49
49,58
58,67
67,76
5,14
14,23
23,32
32,41
41,50
50,59
59,68
68,77
6,15
15,24
24,33
33,42
42,51
51,60
60,69
69,78
7,16
16,25
25,34
34,43
43,52
52,61
61,70
70,79
8,95
95,17
17,26
26,35
35,44
44,53
53,62
62,71
71,96
96,80
89,81
81,93
1,82
82,9
90,85
85,95
7,86
86,17
91,88
88,94
73,87
87,63
92,84
84,96
79,83
83,71
0,81
81,82
82,10
10,20
20,30
30,40
40,50
50,60
60,70
70,83
83,84
84,80
8,85
85,86
86,16
16,24
24,32
32,40
40,48
48,56
56,64
64,87
87,88
88,72
97,0
98,93
99,9
100,18
101,27
102,36
103,45
104,54
105,63
106,94
107,72
108,8
109,95
110,17
111,26
112,35
113,44
114,53
115,62
116,71
117,96
118,80
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
89,119
1,120
2,121
3,122
4,123
5,124
6,125
7,126
90,127
91,128
73,129
74,130
75,131
76,132
77,133
78,134
79,135
92,136
98,137
99,138
100,139
101,140
102,141
103,142
104,143
105,144
106,145
109,146
110,147
111,148
112,149
113,150
114,151
115,152
116,153
117,154
0,155
8,156
72,157
80,158
97,159
108,160
107,161
118,162
