0,89,81,0
89,1,82,81
1,10,82,82
0,81,93,0
81,82,9,93
82,10,9,9
8,85,90,8
85,86,7,90
86,86,16,7
8,95,85,8
95,17,86,85
17,17,16,86
72,88,91,72
88,87,73,91
87,87,64,73
72,94,88,72
94,63,87,88
63,63,64,87
80,92,84,80
92,79,83,84
79,70,83,83
80,84,96,80
84,83,71,96
83,70,71,71
1,2,11,10
2,3,12,11
3,4,13,12
4,5,14,13
5,6,15,14
6,7,16,15
9,10,19,18
10,11,20,19
11,12,21,20
12,13,22,21
13,14,23,22
14,15,24,23
15,16,25,24
16,17,26,25
18,19,28,27
19,20,29,28
20,21,30,29
21,22,31,30
22,23,32,31
23,24,33,32
24,25,34,33
25,26,35,34
27,28,37,36
28,29,38,37
29,30,39,38
30,31,40,39
31,32,41,40
32,33,42,41
33,34,43,42
34,35,44,43
36,37,46,45
37,38,47,46
38,39,48,47
39,40,49,48
40,41,50,49
41,42,51,50
42,43,52,51
43,44,53,52
45,46,55,54
46,47,56,55
47,48,57,56
48,49,58,57
49,50,59,58
50,51,60,59
51,52,61,60
52,53,62,61
54,55,64,63
55,56,65,64
56,57,66,65
57,58,67,66
58,59,68,67
59,60,69,68
60,61,70,69
61,62,71,70
64,65,74,73
65,66,75,74
66,67,76,75
67,68,77,76
68,69,78,77
69,70,79,78
97,0,93,98
98,93,9,99
99,9,18,100
100,18,27,101
101,27,36,102
102,36,45,103
103,45,54,104
104,54,63,105
105,63,94,106
106,94,72,107
8,108,109,95
95,109,110,17
17,110,111,26
26,111,112,35
35,112,113,44
44,113,114,53
53,114,115,62
62,115,116,71
71,116,117,96
96,117,118,80
