97
60  -0.194856  -0.112500  +2.948683  +3.254990  +0.000  +0.000  -0.124  1 X1  
61  -0.324760  -0.187500  +2.900000  +3.218606  +0.000  +0.000  -0.218  1 X1  
62  -0.454663  -0.262500  +2.821584  +3.161895  +0.000  +0.000  -0.331  1 X1  
63  -0.584567  -0.337500  +2.703562  +3.081665  +0.000  +0.000  -0.477  1 X1  
64  -0.714471  -0.412500  +2.519615  +2.972111  +0.000  +0.000  -0.684  1 X1  
65  -0.064952  -0.037500  +2.972111  +3.272792  +0.000  +0.000  -0.030  1 X1  
66  -0.487500  -0.844375  +2.000000  +2.821584  +0.000  +0.000  -1.166  1 X1  
67  -0.562500  -0.974279  +0.000000  +2.599999  +0.000  +0.000  -0.000  0 EXT  
68  -0.112500  -0.194856  +2.948683  +3.254990  +0.000  +0.000  -0.124  1 X1  
69  -0.187500  -0.324760  +2.900000  +3.218606  +0.000  +0.000  -0.218  1 X1  
70  -0.262500  -0.454663  +2.821584  +3.161895  +0.000  +0.000  -0.331  1 X1  
71  -0.337500  -0.584567  +2.703562  +3.081665  +0.000  +0.000  -0.477  1 X1  
72  -0.412500  -0.714471  +2.519615  +2.972111  +0.000  +0.000  -0.684  1 X1  
73  -0.037500  -0.064952  +2.972111  +3.272792  +0.000  +0.000  -0.030  1 X1  
74  +0.000000  -0.975000  +2.000000  +2.821584  +0.000  +0.000  -1.166  1 X1  
75  +0.000000  -1.125000  +0.000000  +2.600000  +0.000  +0.000  -0.000  0 EXT  
76  +0.000000  -0.225000  +2.948683  +3.254990  +0.000  +0.000  -0.124  1 X1  
77  +0.000000  -0.375000  +2.900000  +3.218606  +0.000  +0.000  -0.218  1 X1  
78  +0.000000  -0.525000  +2.821584  +3.161895  +0.000  +0.000  -0.331  1 X1  
79  +0.000000  -0.675000  +2.703562  +3.081665  +0.000  +0.000  -0.477  1 X1  
80  +0.000000  -0.825000  +2.519615  +2.972111  +0.000  +0.000  -0.684  1 X1  
81  +0.000000  -0.075000  +2.972111  +3.272792  +0.000  +0.000  -0.030  1 X1  
82  +0.487500  -0.844375  +2.000000  +2.821584  +0.000  +0.000  -1.166  1 X1  
83  +0.562500  -0.974279  +0.000000  +2.599999  +0.000  +0.000  -0.000  0 EXT  
84  +0.112500  -0.194856  +2.948683  +3.254990  +0.000  +0.000  -0.124  1 X1  
85  +0.187500  -0.324760  +2.900000  +3.218606  +0.000  +0.000  -0.218  1 X1  
86  +0.262500  -0.454663  +2.821584  +3.161895  +0.000  +0.000  -0.331  1 X1  
87  +0.337500  -0.584567  +2.703562  +3.081665  +0.000  +0.000  -0.477  1 X1  
88  +0.412500  -0.714471  +2.519615  +2.972111  +0.000  +0.000  -0.684  1 X1  
